skill_label,c_layer1,c_layer2,c_layer3
perform services in a flexible manner,1,0,0
maintain mine machinery,3,5,0
conduct fish populations studies,8,4,1
gas contaminant removal processes,3,4,0
fuel gas,3,0,0
perform with motion capture equipment,4,3,1
adjust vulcanizing machine,5,0,0
diagnose genetic diseases,0,1,2
astropsychology,6,4,2
analyse pipeline database information,3,0,0
manipulate stainless steel,5,2,1
use internet to increase sales,6,3,3
assess visual impact of displays,6,3,2
drive metal sheet piles,5,1,3
deputise for the mine manager,3,5,0
add slabs to ceramic work,4,6,0
groom carpets,1,3,0
address potential aerodrome hazards,1,5,3
grade veneer,3,5,2
keep time accurately,1,1,1
monitor feeding behaviour,8,4,0
implement environmental protection measures,1,2,2
manage vessel control systems,1,2,2
appraise gemstones,5,2,2
corrosion types,3,4,0
automated analysers in the medical laboratory,0,1,2
metal bending techniques,5,1,0
position cross slide of a lathe,5,4,3
legal studies,2,1,2
plan patient menus,0,1,7
ICT network simulation,10,0,1
work in fitness teams,0,2,1
grade candles,5,0,6
types of spa,2,3,0
negotiate in legal cases,2,1,2
surface-mount technology,3,1,0
create software design,10,0,0
make architectural mock-ups,3,4,3
read water meter,3,0,2
diagnose nursing care,0,1,0
Global Maritime Distress and Safety System,1,2,0
acquire antique items,6,0,0
measure ship tonnage,1,2,1
provide advice on pet training,6,0,0
set production KPI,1,4,5
perform cleaning activities in an environmentally friendly way,1,3,0
waste removal regulations,3,1,0
plan menus,1,3,3
environmental enrichment for animals,8,3,1
plan facilities management policies,2,3,2
filter wine,1,0,1
advise on plant mineral nutrition,8,0,3
design electrical systems,3,3,1
manage edentulous patients,0,1,0
betting legislation,2,3,2
determine production feasibility,3,4,0
operate furnace,5,0,1
prevent health and safety problems,3,5,0
practice dance moves,4,3,1
promote public transport,1,1,2
manual draughting techniques,3,4,3
monitor manufacturing quality standards,3,1,2
administer hydrotherapy,0,1,1
evaluate industrial hygiene,3,5,1
provide user support for electrical instruments,3,1,0
monitor communication channels' performance,10,2,2
use warehouse marking tools,1,1,0
cable-propelled transit,1,1,2
supervise sound production,4,3,4
monitor almond blanching process,1,0,3
operate LED-based panel signal boxes,1,1,4
mine machinery welding,5,4,0
ayurveda medicine,0,1,1
check animal feeding behaviour,8,4,0
adjust curing ovens,5,0,6
design microelectronics,3,3,1
lacquer spray gun parts,5,4,1
geological time scale,3,5,3
provide testimony in court hearings,0,0,1
draw up costume sketches,4,1,0
detect product defects,5,2,2
apply statistical analysis techniques,3,2,1
examine credit ratings,2,4,3
advise on mine equipment,3,5,0
collect dead fish,8,4,0
sell building materials,6,0,0
store archival objects,7,0,1
give constructive feedback,7,2,1
pump products,1,0,3
manage routine waste,1,3,0
weigh shipments,1,2,1
compile cooking recipes,1,3,3
assemble plastic parts,5,2,1
train animals,8,3,3
perform dental hygiene interventions,0,1,0
create coffee flavour profiles,1,0,1
perform underwater investigations,1,7,2
marketing mix,2,2,1
debt collection techniques,2,4,3
provide postnatal care,0,1,4
disarm land mine,1,7,3
report utility meter readings,3,0,2
generate reconciliation reports,3,5,0
health and safety in the workplace,9,1,1
Bible texts,2,0,4
supervise the wine cellar,8,0,3
perform maintenance on fire alarm systems,3,1,0
act as a watchstander,1,2,2
interpret medical results,0,1,8
metalogic,3,2,1
use safety equipment in construction,5,1,2
maintain tanks,1,0,3
"mining, construction and civil engineering machinery products",3,5,2
remove contaminated materials,3,5,1
minerals laws,3,5,0
tend filing machine,5,4,2
ensure maintenance of the advertising furniture,1,3,0
use sheet metal shears,5,1,1
provide advice to clients in terms of import restrictions,1,2,1
support the positiveness of youths,0,0,1
educate employees on occupational hazards,3,5,1
environmental engineering,3,5,1
safe management of medicines,0,1,0
perform video editing,4,5,3
pose questions referring to documents,2,1,0
sell second-hand merchandise,6,0,0
prepare training events for teachers,7,4,1
use technical equipment for sterilisation,5,0,6
inform on fiscal duties,2,4,1
revise questionnaires,2,2,3
manage mining plant equipment,3,5,0
use waterway traffic control systems;,1,2,2
manage military logistics,1,7,3
operate various kinds of grass maintenance equipment,1,5,3
dairy and edible oil products,6,2,1
tend vats following a nitration process,5,0,4
inspect wearing apparel products,9,0,0
interpret financial statements,2,4,1
support children's wellbeing,0,0,1
execute necessary procedures prior to take off,1,5,3
promote education programmes,7,4,1
ask questions at events,4,5,2
heat lacquer mixture,5,0,4
malting process,1,0,1
nuclear energy,3,5,1
lead claim examiners,2,4,0
advise customers on preparation of meat products,6,0,8
prepare reports on fuel sold in fuel station,6,0,1
pack electronic equipment,4,1,1
prepare bread products,6,0,0
Ansible,10,3,1
monitor traffic flow,1,7,2
treat medical conditions with art therapy,0,3,0
mix paint,5,1,2
compose stowage plans,1,2,0
operate wood chipper,5,3,1
evaluate performance of organisational collaborators,2,3,5
assemble barrels,5,2,1
operate diesel propulsion plants,1,2,2
implement short term objectives,1,4,5
manufacture male suits,9,0,1
operate raw mineral size reduction equipment,5,0,4
safeguard artistic quality of performance,4,1,0
draft styling schedule,4,3,3
meat and meat products,6,2,1
deliver visual presentation of data,10,0,2
supervise food quality,1,3,1
household products,6,2,1
musculoskeletal anatomy,0,1,1
maintain fish harvesting equipment,8,4,0
disinfect surfaces,1,3,0
monitor crops,8,0,3
apply numeracy skills,6,1,1
meet standards of practice in social services,0,0,0
Informatica PowerCenter,10,0,0
monitor operations in the leather industry,9,1,1
direct movement experiences,0,1,1
test production input materials,3,2,0
promote sustainable interior design,3,4,3
advise on conflict management,2,1,1
operate tissue sheet binder,5,3,1
negotiate with property owners,2,4,0
coach performers in your fight discipline,4,2,2
inspect sewerage systems,3,0,0
differentiate between airfield lighting,1,5,3
define rigging needs for circus acts,4,2,3
devise choreography,7,2,3
maintain professional administration,6,4,0
carry out preparations for fish disease specialist,8,4,0
inspect electrical supplies,3,1,0
wall and floor coverings industry,6,0,0
deliver business research proposals,2,3,1
Oracle Relational Database,10,0,0
repair toys,5,2,1
assess licence applications,2,1,3
advise on organisation climate,2,1,1
manage several projects,2,3,2
maintain order at scenes of accidents,0,1,4
filing machine parts,5,4,2
design miniature props,4,3,3
witness the signing of documents,2,1,2
execute inspection walkway,1,7,0
conduct ante-mortem veterinary health inspection,8,3,2
work in an economically efficient manner,2,3,3
distinguish ship construction methods,1,2,2
coordinate care,0,0,2
manage contract disputes,2,4,0
manufacturing of metal containers,5,4,1
clinical neurophysiology,0,1,6
construct cores,5,0,6
communicate with park visitors,1,8,0
obtain healthcare user's medical status information,0,1,1
advise customers on seafood choices,6,0,8
calculate rigging plots,4,1,2
develop a translation strategy,4,0,0
keep track of expenses,2,4,1
thoracic surgery,0,1,6
design well flow systems,3,5,0
plan resource allocation,5,1,3
remove rust from motor vehicles,5,1,1
examine lumber,3,5,2
patient autonomy,0,1,0
operate video equipment,4,3,4
tend soap flake machinery,5,0,4
advise on public finance,2,4,1
maintain operational communications,1,7,3
multimedia systems,4,5,3
implement ICT risk management,10,2,0
handle chemicals for clean in place,1,0,1
consultation methods,2,3,2
create risk maps,2,4,3
liaise with rail experts,1,1,4
observe logs,5,3,1
government policy,2,0,5
cope with manufacturing deadlines pressure,3,0,3
control levels of nicotine per cigar,1,0,2
check quality of enamel,5,2,2
use CAD for heels,9,3,1
arrange tables,1,3,1
supervise event staff,2,0,1
persuade clients with alternatives,2,3,0
manage consumables stock,4,1,2
issue permits,3,5,3
create breakdown notices,4,3,2
neonatology,0,1,4
make artistic food creations,1,0,0
assess studio production,3,0,3
attach horseshoes,8,1,2
perform microbiological analysis in the food chain,1,4,3
use hand signal for transport procedures,1,1,4
develop film,4,5,1
operate drilling equipment,5,2,1
impart business plans to collaborators,2,2,1
ensure passenger comfort,1,1,3
operate digester machine,5,3,1
prepare work instructions,8,4,2
commercial photography,4,5,1
fix minor scratches,5,2,0
execute email marketing,2,2,0
crafting,1,0,0
collect visitor fees,6,4,3
evaluate clinical psychological measures,0,3,1
horse racing regulation,4,4,3
international tariffs,2,4,1
use threading techniques,6,4,0
teach kindergarten class content,7,4,2
identify suppliers,6,2,2
manage account department,2,0,3
implant microchips in animals,8,3,2
replace die,5,4,2
develop beverage manufacturing procedures,1,0,1
apply fishery biology to fishery management,8,4,2
create musical instrument parts,5,2,3
carry out navigational calculations,1,5,0
prepare Pilates exercise session,0,2,2
check finished vehicles for quality control,6,4,4
collect samples for analysis,1,0,3
build predictive models,2,2,3
maintain street sweeping machine,1,3,0
types of strabismus,0,1,0
draw prop sketches,4,1,2
operate raw mineral separation equipment,5,0,4
change kegs,1,3,1
plan choreographic improvisation,4,3,1
place orders for clothing merchandise,6,3,1
teach flying practices,7,2,2
maintain amusement park equipment,1,8,0
prepare for diagnostic imaging procedures,0,1,3
coordinate oil well operations,3,5,0
Assertiveness,4,4,4
herpetology,8,4,1
conduct pregnancy massages,0,1,1
clean jewellery pieces,5,2,2
follow interpreting quality standards,4,0,2
compare roasted grains to a standard,1,0,0
restock toilet facilities' supplies,1,3,0
prosthetic-orthotic device materials,0,1,2
support witnesses,2,1,2
set payment handling strategies,1,1,1
take pharmaceutical inventory,0,1,0
apply stitching techniques,9,3,2
operate concrete casting machine,5,0,6
compute engraving dimensions,5,2,2
attend book fairs,4,5,0
take disease prevention measures,0,1,2
describe the financial situation of a region,2,3,5
ensure compliance with accounting conventions,2,4,1
assist scientific research,3,3,0
prompt performers,4,2,2
developmental possibilities in music therapy interventions,0,3,0
write inspection reports,3,1,2
paediatric psychology,0,3,1
hear legal arguments,2,1,2
clean ships,1,2,0
tend swaging machine,5,4,2
use shims,5,1,2
turf management,8,0,2
clean mixer,5,0,4
communicate in specialised nursing care,0,1,0
footwear finishing techniques,9,3,2
temper chocolate,1,0,0
tend cigarette making machine,1,0,2
collect aquatic resources,8,4,0
computational fluid dynamics,3,4,2
electricity consumption,3,0,1
maintain optical equipment,3,3,2
put adhesive on plies,5,0,0
hair cutting techniques,7,2,2
manage timber orders,8,2,2
joint ventures,2,1,2
clinical coding,0,1,2
control kiln firing,5,0,5
control tree diseases,8,2,4
prepare aviation equipment and facilities for training purposes,1,5,3
logic,7,3,2
advise customers on books selection,6,0,6
recommend telecommunication equipment to customers,6,0,0
clean food and beverage machinery,1,0,3
"empower individuals, families and groups",0,0,1
monitor technology trends,10,2,3
manage payroll reports,2,3,0
operate heart-lung machines,0,1,0
implement data quality processes,10,0,2
oversee aircraft sensor and recording systems,3,4,0
national road network,1,1,2
ensure regulatory compliance concerning distribution activities,6,2,3
manage chemical testing procedures,3,2,0
monitor airspace planning,1,5,2
ensure curriculum adherence,7,4,1
types of strings,5,2,3
roasted cacao beans,1,0,0
maneuver cylinders,5,0,7
tend wax bleaching machinery,5,0,6
perform toys finishing,5,2,1
attract gamers,4,4,4
components of air conditioning systems,3,4,2
prepare work orders for the optical laboratory,0,1,0
biofilter systems,8,4,2
store produced pyrotechnics,5,0,4
tend textile dyeing machines,9,2,3
advise customers on vehicle's extra services,6,0,1
install automation components,3,3,0
carry out pre-flight duties,1,5,1
consult team on creative project,4,6,0
natural gas,3,0,1
perform technical tasks with great care,6,4,4
radiochemistry,3,5,1
maintain relationships with animal welfare establishments,8,3,2
draw stage layouts,4,1,1
coordinate passengers,1,2,0
dispose of soldering waste,3,1,0
biochemical processes of cider production,1,0,1
handle residual gases,3,2,0
dry dog's coat for further treatment,8,3,1
assist in fund management,2,4,2
national generally accepted accounting principles,2,4,1
perform screening for infectious diseases,0,1,2
advise on personnel management,2,1,1
carry out neuropsychological testing,0,3,1
perform gross post mortem examination on animals,8,3,2
